,Robot1,Robot2,Robot3,Robot4,Robot5,Robot6,Robot7,Robot8,Robot9,Robot10,Robot11,Robot12,Robot13,Robot14,Robot15,Robot16,Robot17,Robot18,Robot19,Robot20,Robot21,Robot22,Robot23,Robot24,Robot25,Robot26,Robot27,Robot28,Robot29,Robot30
Robot1,,2.88,3.75,1.63,3.63,2.5,3.5,4.25,2,3.5,2.63,1.38,3.75,2.5,2.38,3.38,2.5,3.13,4,2.88,2,2.88,3,3,3,3.25,2.88,2.13,3,2.13
Robot2,2.88,,1.88,1.25,1.75,2.38,2,2.75,2.5,2.75,3,2.13,1.75,2.88,2.13,2.13,2.25,3.5,1.63,3.13,2.25,2.88,1.63,1.88,2.75,2.13,1.63,2,1.38,1.38
Robot3,3.75,1.88,,2.25,2.5,1.75,3.38,3.13,1.75,2.88,2.5,1.75,3.38,1.63,3.25,3.13,1.75,1.88,3.25,1.75,1.88,2.25,3.38,1.5,2.38,2.75,1.88,2.38,3.25,2.25
Robot4,1.63,1.25,2.25,,2.5,1.38,2.38,1.88,1.75,1.13,1.63,2.63,1.13,1.63,2.13,1,2.25,1.75,1.5,1.38,2.5,2.13,1.75,2.13,1.25,1.5,1.75,2.38,1,1.75
Robot5,3.63,1.75,2.5,2.5,,1.88,2.88,3.88,3,2.88,2.63,2.88,2.38,1.75,3,2.25,2.75,2.88,2.88,2.75,3.5,3,2.38,3.88,3.25,2,3.38,2.63,2.5,3.63
Robot6,2.5,2.38,1.75,1.38,1.88,,2.25,2.25,3.5,1.38,3,1.38,2.25,3.88,2.38,3.13,4.38,2.88,3.13,3.38,3,3.25,2.63,3,3.63,2.5,1.75,3.5,2.5,2.13
Robot7,3.5,2,3.38,2.38,2.88,2.25,,3.13,2.25,3.25,3,1.38,3.88,2.63,2.38,2.63,2.13,1.88,3.88,2.88,2.13,3,3.38,2.25,2.38,3.25,2.5,3.75,3.25,1.63
Robot8,4.25,2.75,3.13,1.88,3.88,2.25,3.13,,2.25,3.13,2.25,2.88,2.75,2,3,2,3.38,2.88,3.13,3.75,3.13,3.75,2.25,3.75,3,2.38,3.13,2.38,1.75,3.63
Robot9,2,2.5,1.75,1.75,3,3.5,2.25,2.25,,2.25,2.75,1.25,2.25,4,2.5,2.75,2.75,3.25,3,3.75,3.13,4,2.25,2.63,3.25,2.13,2.63,2.63,2.75,1.88
Robot10,3.5,2.75,2.88,1.13,2.88,1.38,3.25,3.13,2.25,,2,1.88,2.75,1.5,2.25,3.13,2.38,4,3.63,3.25,2.13,2.25,2.75,2.25,2.38,3.25,2.38,2.5,2.5,1.88
Robot11,2.63,3,2.5,1.63,2.63,3,3,2.25,2.75,2,,1.75,2.25,2.88,2.25,1.38,1.75,3.25,2.63,3.38,2,3.13,2.13,1.88,3.13,2.88,1.88,3.38,1.5,2.13
Robot12,1.38,2.13,1.75,2.63,2.88,1.38,1.38,2.88,1.25,1.88,1.75,,1.25,1.5,2.63,2,2.38,2,1.63,1.75,2.75,2.38,2,3,2.25,1.38,2.63,1.5,2,3.13
Robot13,3.75,1.75,3.38,1.13,2.38,2.25,3.88,2.75,2.25,2.75,2.25,1.25,,2,2,3.38,1.88,1.88,3.5,2.38,2.13,3,3.25,2.75,2.75,3.25,2.63,1.88,3.38,2.5
Robot14,2.5,2.88,1.63,1.63,1.75,3.88,2.63,2,4,1.5,2.88,1.5,2,,2.25,3.38,2.63,3.13,2,3.63,3.38,3.38,2.38,3.38,3,2.5,2,3.88,2.75,2.13
Robot15,2.38,2.13,3.25,2.13,3,2.38,2.38,3,2.5,2.25,2.25,2.63,2,2.25,,1.88,3.25,1.75,2,2,3.63,2.63,2.25,3.5,2.75,2.25,3.13,2.13,1.63,2.75
Robot16,3.38,2.13,3.13,1,2.25,3.13,2.63,2,2.75,3.13,1.38,2,3.38,3.38,1.88,,2.5,2.25,3.5,2.38,2.63,2.5,2.63,2.5,3,3.13,1.5,2.13,4.38,1.75
Robot17,2.5,2.25,1.75,2.25,2.75,4.38,2.13,3.38,2.75,2.38,1.75,2.38,1.88,2.63,3.25,2.5,,1.63,2.13,2.38,3.63,2,1.75,3,2.25,2,3.25,2.25,2.38,2.63
Robot18,3.13,3.5,1.88,1.75,2.88,2.88,1.88,2.88,3.25,4,3.25,2,1.88,3.13,1.75,2.25,1.63,,2.13,4,1.75,3.38,1.75,2.13,3.5,1.75,1.63,2.88,2,2.25
Robot19,4,1.63,3.25,1.5,2.88,3.13,3.88,3.13,3,3.63,2.63,1.63,3.5,2,2,3.5,2.13,2.13,,3.25,1.75,3,3.13,2.38,2.88,3.38,3.25,2.25,3.38,2.75
Robot20,2.88,3.13,1.75,1.38,2.75,3.38,2.88,3.75,3.75,3.25,3.38,1.75,2.38,3.63,2,2.38,2.38,4,3.25,,2.38,3.88,1.75,3.88,3.88,1.75,3.38,3.38,1.88,2.5
Robot21,2,2.25,1.88,2.5,3.5,3,2.13,3.13,3.13,2.13,2,2.75,2.13,3.38,3.63,2.63,3.63,1.75,1.75,2.38,,2,2.5,3.13,2.25,2.13,2.75,1.63,2.63,3.5
Robot22,2.88,2.88,2.25,2.13,3,3.25,3,3.75,4,2.25,3.13,2.38,3,3.38,2.63,2.5,2,3.38,3,3.88,2,,1.63,3.13,4,2.25,3.13,3.5,2.88,3.5
